id_ticket,id_cliente,data_abertura,canal,categoria,texto_reclamacao,csat,nps
T000060,C00086,2024-02-06,Email,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,5
T000061,C00086,2024-07-22,Email,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,5
T000062,C00087,2023-10-14,Email,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,6
T000063,C00088,2024-02-22,Email,Técnico,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,3,4
T000064,C00089,2024-11-26,Email,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,10
T000065,C00092,2024-05-23,Chat,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,6
T000066,C00094,2023-07-18,Telefone,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,8
T000067,C00097,2024-09-12,Email,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",3,7
T000068,C00097,2023-12-01,Email,Técnico,"Serviço caindo toda hora, um absurdo. Meu email é c00097@exemplo.com.br e ainda não recebi retorno.",2,6
T000069,C00098,2024-10-07,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,9
T000070,C00099,2023-09-02,Chat,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,10
T000071,C00100,2023-12-01,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Quezia Almeida!",5,6
T000072,C00100,2023-10-13,Email,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00100@exemplo.com.br.,4,4
T000073,C00103,2023-05-18,Telefone,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",4,6
T000074,C00110,2024-02-27,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,8
T000075,C00111,2024-01-02,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Rafael Lima!",4,10
T000076,C00111,2024-02-16,Email,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00111@exemplo.com.br.,3,8
T000077,C00112,2024-03-19,Email,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",3,5
T000078,C00118,2023-06-24,Email,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,8
T000079,C00119,2023-01-14,Chat,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,4
T000080,C00121,2023-05-14,Telefone,Cobrança,"Serviço caindo toda hora, um absurdo. Meu email é c00121@exemplo.com.br e ainda não recebi retorno.",3,6
T000081,C00123,2023-10-17,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,8
T000082,C00125,2024-11-18,Email,Técnico,Já pedi cancelamento e continuam cobrando. Falar com Lucas Souza no telefone 21 3344-5566.,3,6
T000083,C00127,2023-01-27,Email,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",3,10
T000084,C00128,2023-08-08,Chat,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,7
T000085,C00131,2024-08-09,Email,Cancelamento,"Serviço caindo toda hora, um absurdo. Meu email é c00131@exemplo.com.br e ainda não recebi retorno.",2,5
T000086,C00132,2023-03-25,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Diego Araújo!",3,6
T000087,C00132,2024-01-19,Email,Cobrança,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,1,2
T000088,C00132,2024-03-14,Chat,Cobrança,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,1,2
T000089,C00132,2023-10-20,Chat,Cancelamento,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,1,2
T000090,C00133,2024-02-05,Chat,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",3,8
T000091,C00133,2024-02-12,Telefone,Técnico,"Serviço caindo toda hora, um absurdo. Meu email é c00133@exemplo.com.br e ainda não recebi retorno.",2,6
T000092,C00133,2025-03-27,Telefone,Cobrança,Já pedi cancelamento e continuam cobrando. Falar com Carla Pereira no telefone 21 3344-5566.,3,6
T000093,C00133,2023-10-22,Chat,Cancelamento,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,2,6
T000094,C00135,2023-08-19,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Gabriela Rocha!",5,10
T000095,C00141,2025-03-10,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Rafael Silva!",4,10
T000096,C00141,2023-09-05,Email,Cobrança,Já pedi cancelamento e continuam cobrando. Falar com Rafael Silva no telefone 21 3344-5566.,2,6
T000097,C00145,2024-05-01,Chat,Cobrança,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,3,6
T000098,C00145,2025-01-09,Chat,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00145@exemplo.com.br.,4,8
T000099,C00147,2025-06-18,Email,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",3,5
T000100,C00153,2024-08-07,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Gabriela Gomes!",5,8
T000101,C00155,2024-06-09,Email,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",4,8
T000102,C00155,2024-03-22,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,7
T000103,C00161,2025-08-24,Email,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,6
T000104,C00161,2023-07-05,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Karina Oliveira!",5,7
T000105,C00161,2023-02-14,Telefone,Cancelamento,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,3,5
T000106,C00170,2025-05-27,Email,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,8
T000107,C00172,2023-03-04,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,6
T000108,C00173,2023-08-12,Chat,Dúvida,Como faço para alterar meu plano? Podem me contatar no c00173@exemplo.com.br.,3,8
T000109,C00175,2023-06-02,Chat,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,8
T000110,C00176,2025-04-11,Email,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",2,8
T000111,C00177,2024-04-17,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,9
T000112,C00178,2025-05-01,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,10
T000113,C00180,2023-11-13,Email,Cancelamento,"Serviço caindo toda hora, um absurdo. Meu email é c00180@exemplo.com.br e ainda não recebi retorno.",3,5
T000114,C00181,2025-05-03,Telefone,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,6
T000115,C00182,2023-07-23,Email,Dúvida,Como faço para alterar meu plano? Podem me contatar no c00182@exemplo.com.br.,4,4
T000116,C00182,2024-02-03,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,6
T000117,C00183,2023-05-04,Email,Técnico,"Serviço caindo toda hora, um absurdo. Meu email é c00183@exemplo.com.br e ainda não recebi retorno.",3,5
T000118,C00185,2024-07-16,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Karina Lima!",5,8
T000119,C00185,2025-03-20,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Karina Lima!",5,8
T000120,C00193,2024-01-13,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Tiago Ribeiro!",3,8
T000121,C00197,2023-08-24,Chat,Dúvida,Como faço para alterar meu plano? Podem me contatar no c00197@exemplo.com.br.,4,3
T000122,C00197,2023-09-09,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,3
T000123,C00198,2023-05-27,Telefone,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",3,6
T000124,C00198,2023-01-25,Telefone,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",2,4
T000125,C00199,2025-03-22,Chat,Cobrança,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,3,6
T000126,C00201,2024-01-27,Chat,Cancelamento,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,2,4
T000127,C00204,2023-09-16,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Marina Ribeiro!",3,10
T000128,C00204,2023-06-04,Email,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",3,10
T000129,C00205,2023-02-27,Email,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",3,6
T000130,C00205,2023-01-02,Chat,Técnico,Já pedi cancelamento e continuam cobrando. Falar com Karina Moraes no telefone 21 3344-5566.,1,1
T000131,C00208,2025-01-13,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,6
T000132,C00210,2025-05-03,Email,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,6
T000133,C00210,2025-07-26,Chat,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,5
T000134,C00211,2023-07-05,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Lucas Martins!",5,10
T000135,C00215,2023-12-24,Email,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,10
T000136,C00217,2023-11-27,Telefone,Cancelamento,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,3,4
T000137,C00218,2024-01-15,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Paulo Lima!",5,10
T000138,C00218,2024-08-01,Chat,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,8
T000139,C00221,2023-03-16,Telefone,Cobrança,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,3
T000140,C00223,2024-06-24,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,7
T000141,C00224,2023-12-26,Email,Cancelamento,Já pedi cancelamento e continuam cobrando. Falar com Diego Teixeira no telefone 21 3344-5566.,1,4
T000142,C00228,2023-01-26,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Elaine Silva!",4,6
T000143,C00231,2024-12-24,Email,Cobrança,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,8
T000144,C00231,2024-05-01,Chat,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,8
T000145,C00235,2023-04-08,Chat,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00235@exemplo.com.br.,4,8
T000146,C00237,2023-07-14,Chat,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,8
T000147,C00237,2023-10-27,Telefone,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,10
T000148,C00237,2025-07-10,Email,Dúvida,Como faço para alterar meu plano? Podem me contatar no c00237@exemplo.com.br.,4,8
T000149,C00239,2024-11-04,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Henrique Moraes!",5,10
T000150,C00240,2024-05-07,Telefone,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,10
T000151,C00241,2023-01-27,Email,Técnico,"Serviço caindo toda hora, um absurdo. Meu email é c00241@exemplo.com.br e ainda não recebi retorno.",1,3
T000152,C00242,2023-03-17,Chat,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,7
T000153,C00244,2023-02-13,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Paulo Souza!",5,8
T000154,C00249,2023-08-02,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Gabriela Oliveira!",3,10
T000155,C00249,2025-03-03,Telefone,Cobrança,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,2,8
T000156,C00252,2023-02-10,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Isabela Souza!",4,7
T000157,C00254,2025-02-10,Chat,Cancelamento,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,3,4
T000158,C00269,2024-11-20,Chat,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,6
T000159,C00270,2025-03-04,Chat,Cobrança,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,8
T000160,C00272,2025-02-25,Chat,Técnico,"Serviço caindo toda hora, um absurdo. Meu email é c00272@exemplo.com.br e ainda não recebi retorno.",2,0
T000161,C00272,2023-12-25,Chat,Cancelamento,"Serviço caindo toda hora, um absurdo. Meu email é c00272@exemplo.com.br e ainda não recebi retorno.",1,0
T000162,C00272,2023-03-23,Telefone,Cobrança,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,2,0
T000163,C00272,2025-02-10,Email,Cobrança,"Serviço caindo toda hora, um absurdo. Meu email é c00272@exemplo.com.br e ainda não recebi retorno.",1,0
T000164,C00273,2023-03-13,Telefone,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00273@exemplo.com.br.,3,8
T000165,C00273,2025-01-12,Chat,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",4,9
T000166,C00274,2025-07-20,Chat,Dúvida,Como faço para alterar meu plano? Podem me contatar no c00274@exemplo.com.br.,2,8
T000167,C00274,2025-07-01,Telefone,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",2,8
T000168,C00278,2024-05-09,Email,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",4,6
T000169,C00281,2025-08-15,Email,Cancelamento,"Serviço caindo toda hora, um absurdo. Meu email é c00281@exemplo.com.br e ainda não recebi retorno.",1,6
T000170,C00284,2025-02-16,Chat,Técnico,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,2,6
T000171,C00284,2024-04-24,Email,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,7
T000172,C00287,2024-08-11,Telefone,Cobrança,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,3,6
T000173,C00287,2023-11-05,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Karina Lima!",5,10
T000174,C00287,2023-03-03,Chat,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,10
T000175,C00289,2023-03-24,Chat,Cancelamento,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,3,6
T000176,C00298,2023-02-22,Chat,Cancelamento,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,2,6
T000177,C00298,2023-02-14,Chat,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,8
T000178,C00299,2023-01-17,Email,Técnico,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,2,5
T000179,C00302,2025-06-21,Telefone,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,6
T000180,C00304,2023-02-27,Chat,Cobrança,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,2,5
T000181,C00307,2025-01-23,Telefone,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",4,7
T000182,C00309,2024-06-16,Chat,Cancelamento,Já pedi cancelamento e continuam cobrando. Falar com Isabela Ferreira no telefone 21 3344-5566.,3,6
T000183,C00311,2023-01-20,Chat,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00311@exemplo.com.br.,4,8
T000184,C00314,2023-04-23,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Bruno Teixeira!",4,6
T000185,C00314,2023-04-02,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Bruno Teixeira!",4,6
T000186,C00317,2024-05-18,Email,Cobrança,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,1,2
T000187,C00319,2024-07-09,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Carla Barbosa!",4,8
T000188,C00321,2024-05-02,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Karina Souza!",3,7
T000189,C00324,2024-07-13,Telefone,Cancelamento,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,3,6
T000190,C00332,2024-05-12,Email,Cobrança,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,1,1
T000191,C00333,2025-04-25,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Karina Pereira!",5,10
T000192,C00335,2023-06-13,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,5
T000193,C00341,2025-06-09,Chat,Dúvida,Como faço para alterar meu plano? Podem me contatar no c00341@exemplo.com.br.,4,8
T000194,C00345,2023-02-27,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,2,4
T000195,C00346,2023-08-08,Telefone,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00346@exemplo.com.br.,3,8
T000196,C00346,2024-11-26,Email,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",4,10
T000197,C00346,2024-04-20,Chat,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,8
T000198,C00347,2025-04-16,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Gabriela Ribeiro!",4,6
T000199,C00348,2024-02-25,Telefone,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,8
T000200,C00349,2023-06-28,Email,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00349@exemplo.com.br.,3,3
T000201,C00355,2024-09-27,Email,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00355@exemplo.com.br.,3,5
T000202,C00358,2025-01-05,Email,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",2,7
T000203,C00359,2025-06-20,Chat,Cobrança,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,2,3
T000204,C00360,2025-01-23,Email,Cancelamento,Já pedi cancelamento e continuam cobrando. Falar com Karina Santos no telefone 21 3344-5566.,1,6
T000205,C00360,2023-09-05,Chat,Cobrança,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,1,6
T000206,C00362,2024-03-08,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Tiago Moraes!",4,9
T000207,C00363,2024-03-17,Telefone,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,7
T000208,C00366,2024-01-20,Telefone,Cobrança,"Serviço caindo toda hora, um absurdo. Meu email é c00366@exemplo.com.br e ainda não recebi retorno.",1,1
T000209,C00371,2023-02-23,Telefone,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00371@exemplo.com.br.,4,8
T000210,C00372,2023-06-06,Chat,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",3,6
T000211,C00374,2023-08-22,Email,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",4,6
T000212,C00375,2023-04-02,Email,Cobrança,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,4
T000213,C00376,2024-06-10,Chat,Cancelamento,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,1,4
T000214,C00376,2023-04-07,Chat,Técnico,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,1,4
T000215,C00379,2025-08-13,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Diego Silva!",4,6
